name,POP_EST,GDP_MD_EST,Use per 100 people,Retail price (US$/g),Wholesale price (1000 US$/kg),Drug trafficking (per 100K pop)
Mongolia,3041142,9476,0,10,0,0.1
Tajikistan,7349145,13160,0,0,0,8.8
Turkmenistan,4884887,29780,0,11.9,7.3,20.9
Jordan,6342948,31610,0,7,0,4.8
Kyrgyzstan,5431747,11610,0,3.7,0.0372,31.1
Nepal,28563377,31080,0,0,0,0.8
Romania,22215421,271400,0.3,0,0,7.6
Japan,127078679,4329000,0.3,75.5,0,0.2
Macedonia,2066718,18780,0.63,2,0.5961,2.6
Ecuador,14573101,107700,0.7,1.5,0.45,21.7
Belarus,9648533,114100,1.07,13,5,13.9
Nicaragua,5891199,16790,1.07,0.5,0.0811,32.5
Mexico,111211789,1563000,1.2,0,0.08,43.4
Thailand,65905410,547400,1.2,0,0,166.8
Paraguay,6995655,28890,1.6,1,0.02,2.6
Albania,3639453,21810,1.8,1.4,0.4188,22.3
Montenegro,672180,6816,1.9,7,0.9074,73.9
Lebanon,4017095,44060,2,15,1.25,16.7
Kenya,39002772,61510,2.1,0.2,0.0969,0.5
Hungary,9905596,196600,2.3,12.5,4.6531,9
Bulgaria,7204687,93750,2.5,8.6,2.5106,23.7
Sweden,9059651,344300,2.61,15.6,4.6709,15.3
Georgia,4615807,21510,2.7,0,3.5,36.6
Ukraine,45700395,339800,2.9,3.2,1,52.6
Slovenia,2005692,59340,3.1,8.4,3.4902,71.2
Iceland,306694,12710,3.4,28,0,34.9
Russia,140041247,2266000,3.49,11,0.6665,164.5
Armenia,2967004,18770,3.5,0,1.5,21.3
Azerbaijan,8238672,77610,3.5,30,2.5,18
Panama,3360474,38830,3.55,10,0.05,26
Portugal,10707924,236500,3.6,7.3,0.565,34.9
Norway,4676305,276400,3.8,0,0,383.9
Serbia,7379339,80340,4.07,1.3,0.5961,49.2
Kazakhstan,15399437,175800,4.2,27.4,2.0567,34.9
Cyprus,531640,22700,4.4,34.9,9.5491,15.8
Finland,5250275,193500,4.6,0,12.5646,106.7
Germany,82329758,2918000,4.7,12.4,5.7951,64.3
Chile,16601707,244500,4.88,10.4,2.6036,33.2
Croatia,4489409,82390,5,7.9,2.6494,65.1
Belgium,10414336,389300,5.1,10.4,6.87,119.4
Switzerland,7604467,316700,5.1,12.5,3.401,97
United Arab Emirates,4798491,184300,5.35,0,0,1.5
Lithuania,3555179,63330,5.6,14.2,6.908,23.9
Estonia,1299371,27410,6,14,0,107.7
Ireland,4203200,188400,6,27.9,7.9483,85
Egypt,83082869,443700,6.24,0,0,17.2
Luxembourg,491775,39370,6.6,19,4.4031,34.1
Slovakia,5463046,119500,6.9,13.2,6.6236,9.7
United Kingdom,61113205,2226000,6.9,8,1.2853,54.8
France,64057792,2128000,8.4,11,4.8862,9.9
Israel,7233701,201400,8.88,1.5,0.295,62.8
Spain,40525002,1403000,9.6,5,1.4791,32.8
Poland,38482919,667900,9.6,8.4,6.6281,8.7
Canada,33487208,1300000,10.9,10.1,2.8406,72.1
Italy,58126212,1823000,14.6,11.6,1.9249,40.3
New Zealand,4213418,116700,14.6,15.9,4.975,140.8
